COORD_SYSTEM: Equatorial
# Equatorial, Galactic, or Ecliptic - default is Equatorial
EQUINOX: J2000
# B1950, J2000, or blank for Galactic - default is J2000
NAME-RESOLVER: NED
# NED  Simbad - default is Simbad
#Name       RA/LON      DEC/LAT     PM-RA   PM-DEC  EPOCH
GRB060929	17h32m40s	+29d49m
GRB060928	08h30m33s	-42d13m
GRB060927	21h58m13s	+05d21m
GRB060926	17h35m49s	+13d02m
GRB060923C	23h04m30s	+03d57m
GRB060923B	15h52m48s	-30d54m
GRB060923	16h58m30s	+12d23m
GRB060919	18h27m39s	-51d02m
GRB060912B	18h04m57s	-19d53m
GRB060912	00h21m09s	+20d58m
GRB060908	02h07m20s	+00d22m
GRB060906	02h43m00s	+30d21m
GRB060904B	03h52m51s	-00d43m
GRB060904	15h50m58s	+44d58m
GRB060901	19h08m38s	-06d38m
GRB060825	01h12m24s	+55d48m
GRB060814	14h45m23s	+20d35m
GRB060813	07h27m28s	-29d51m
GRB060807	16h50m07s	+31d35m
GRB060805B	18h10m02s	+58d09m
GRB060805	14h43m41s	+12d36m
GRB060804	07h28m48s	-27d14m
GRB060801	14h12m06s	+16d59m
GRB060729	06h21m21s	-62d21m
GRB060728	01h06m46s	-41d23m
GRB060719	01h13m49s	-48d22m
GRB060717	11h23m27s	+28d57m
GRB060714	15h11m29s	-06d33m
GRB060712	12h16m15s	+35d34m
GRB060708	00h31m12s	-33d44m
GRB060707	23h48m19s	-17d55m
GRB060614	21h23m27s	-53d02m
GRB060607B	02h48m08s	+14d44m
GRB060607	21h58m51s	-22d30m
GRB060605	21h28m35s	-06d04m
GRB060604	22h28m58s	-10d54m
GRB060602	09h58m18s	+00d19m
GRB060526	15h31m23s	+00d15m
GRB060522	21h31m48s	+02d53m
GRB060516	04h44m43s	-18d07m
GRB060515	08h29m09s	+73d33m
GRB060512	13h03m05s	+41d13m
GRB060510B	15h56m34s	+78d34m
GRB060510	06h23m29s	-01d10m
GRB060507	05h59m53s	+75d14m
GRB060505	22h07m04s	-27d49m
GRB060502B	18h35m45s	+52d38m
GRB060502	16h03m26s	+66d36m
GRB060501	21h53m28s	+43d59m
GRB060429	07h41m57s	-24d58m
GRB060428BX	15h41m24s	+62d01m
GRB060428	08h14m16s	-37d10m
GRB060427	08h17m13s	+62d37m
GRB060424	00h29m25s	+36d49m
GRB060421	22h54m31s	+62d44m
GRB060418	15h45m41s	-03d39m
GRB060413	19h25m12s	+13d48m
GRB060403	18h49m13s	+08d20m
GRB060323	11h37m38s	+49d58m
GRB060322	18h16m59s	-36d42m
GRB060319	11h45m29s	+59d59m
GRB060313	04h26m26s	-10d52m
GRB060312	03h03m04s	+12d49m
GRB060306	02h44m24s	-02d09m
GRB060223B	16h56m58s	-30d48m
GRB060223	03h40m52s	-17d08m
GRB060219	16h07m14s	+32d20m
GRB060218X	03h21m37s	+16d52m
GRB060213	09h26m24s	-09d09m
GRB060211B	05h00m17s	+14d57m
GRB060211	03h53m36s	+21d29m
GRB060210	03h50m55s	+27d02m
GRB060206	13h31m47s	+35d04m
GRB060204C	06h10m54s	+70d10m
GRB060204B	14h07m11s	+27d41m
GRB060204	15h29m08s	-39d28m
GRB060203	06h54m03s	+71d49m
GRB060202	02h23m22s	+38d22m
GRB060130	15h16m54s	-36d55m
GRB060124	05h08m10s	+69d43m
GRB060123	11h59m00s	+45d31m
GRB060121	09h09m57s	+45d40m
GRB060117	21h51m42s	-59d59m
GRB060116	05h38m48s	-05d27m
GRB060115	03h36m11s	+17d21m
GRB060114	13h01m08s	-04d44m
GRB060111B	19h05m21s	+70d22m
GRB060111	18h24m51s	+37d36m
GRB060110	04h50m58s	+28d23m
GRB060109	18h50m50s	+31d59m
GRB060108	09h47m58s	+31d55m
GRB060105	19h49m54s	+46d22m
GRB060102	21h55m25s	-01d51m
GRB051227	08h21m05s	+31d56m
GRB051221B	20h49m35s	+53d03m
GRB051221	21h54m51s	+16d54m
GRB051213	16h48m29s	-59d12m
GRB051211B	23h02m32s	+55d05m
GRB051211	06h56m13s	+32d41m
GRB051210	22h00m47s	-57d38m
GRB051117B	05h40m54s	-19d15m
GRB051117	15h13m37s	+30d52m
GRB051114	15h05m06s	+60d09m
GRB051113	12h28m53s	-26d23m
GRB051111	23h12m38s	+18d20m
GRB051109BX	23h01m46s	+38d40m
GRB051109	22h01m11s	+40d50m
GRB051105B	00h37m52s	-40d29m
GRB051105	17h41m09s	+34d55m
GRB051103	09h52m34s	+68d51m
GRB051028	01h48m39s	+47d49m
GRB051022	23h56m00s	+19d36m
GRB051021B	08h24m09s	-45d31m
GRB051021	01h56m24s	+09d07m
GRB051016B	08h48m16s	+13d39m
