Search_Tgt,Target_name,RA(J2000),Dec(J2000),NAIF_ID,Instrument/Mode,AORKEY,AOR_label,reqbegintime,reqendtime,progid,PI,Release_date,DoC_file,reqmode
GRB150222A,GRB150222A,198.786458,-12.152000000000001,,IRAC Map PC,62076416,GRB150222A,2017-05-14 20:14:15,2017-05-14 21:19:00,13104,"Perley, Daniel A",2017-06-08 10:00:00,/sha/archive/proc/IRAC045200/r62076416/SPITZER_I_62076416_DOC.fits,IracMapPC
GRB150222A,GRB150222A,198.786458,-12.152000000000001,,IRAC Map PC,63311360,GRB150222A - ch2,2017-10-02 19:34:52,2017-10-02 20:39:37,13104,"Perley, Daniel A",2018-04-05 10:00:00,/sha/archive/proc/IRAC046200/r63311360/SPITZER_I_63311360_DOC.fits,IracMapPC
GRB150212A,GRB150212A,285.481708,47.364389,,IRAC Map PC,62076160,GRB150212A,2016-11-08 19:20:16,2016-11-08 21:29:47,13104,"Perley, Daniel A",2016-11-23 10:00:00,/sha/archive/proc/IRAC043800/r62076160/SPITZER_I_62076160_DOC.fits,IracMapPC
GRB150211A,GRB150211A,254.85925,55.393389,,IRAC Map PC,62075904,GRB150211A,2016-11-07 18:23:53,2016-11-07 19:28:38,13104,"Perley, Daniel A",2016-11-23 10:00:00,/sha/archive/proc/IRAC043800/r62075904/SPITZER_I_62075904_DOC.fits,IracMapPC
GRB150211A,GRB150211A,254.85925,55.393389,,IRAC Map PC,63312384,GRB150211A - ch2,2017-07-28 17:46:07,2017-07-28 18:50:52,13104,"Perley, Daniel A",2018-04-05 10:00:00,/sha/archive/proc/IRAC045700/r63312384/SPITZER_I_63312384_DOC.fits,IracMapPC
GRB150206A,GRB150206A,10.073583,-63.182111,,IRAC Map PC,62075648,GRB150206A,2017-09-24 10:24:04,2017-09-24 13:42:38,13104,"Perley, Daniel A",2017-10-12 10:00:00,/sha/archive/proc/IRAC046100/r62075648/SPITZER_I_62075648_DOC.fits,IracMapPC
GRB150202A,GRB150202A,39.227458,-33.148056,,IRAC Map PC,62075392,GRB150202A,2016-11-29 00:03:01,2016-11-29 01:07:46,13104,"Perley, Daniel A",2016-12-22 10:00:00,/sha/archive/proc/IRAC044000/r62075392/SPITZER_I_62075392_DOC.fits,IracMapPC
GRB150202A,GRB150202A,39.227458,-33.148056,,IRAC Map PC,63311872,GRB150202A - ch2,2017-10-25 00:17:38,2017-10-25 01:22:23,13104,"Perley, Daniel A",2018-04-05 10:00:00,/sha/archive/proc/IRAC046300/r63311872/SPITZER_I_63311872_DOC.fits,IracMapPC
GRB150120B,GRB150120B,39.290708,8.077861,,IRAC Map PC,62075136,GRB150120B,2017-11-10 16:15:57,2017-11-10 18:25:28,13104,"Perley, Daniel A",2017-11-16 10:00:00,/sha/archive/proc/IRAC046400/r62075136/SPITZER_I_62075136_DOC.fits,IracMapPC
GRB150120A,GRB150120A,10.318916999999999,33.994861,,IRAC Map PC,62074880,GRB150120A,2016-11-07 05:12:05,2016-11-07 05:41:16,13104,"Perley, Daniel A",2016-11-23 10:00:00,/sha/archive/proc/IRAC043800/r62074880/SPITZER_I_62074880_DOC.fits,IracMapPC
GRB141225A,GRB141225A,138.778292,33.791833000000004,,IRAC Map PC,62074624,GRB141225A,2017-02-09 04:32:17,2017-02-09 05:16:26,13104,"Perley, Daniel A",2017-03-02 10:00:00,/sha/archive/proc/IRAC044500/r62074624/SPITZER_I_62074624_DOC.fits,IracMapPC
GRB141221A,GRB141221A,198.286667,8.20525,,IRAC Map PC,62074368,GRB141221A,2017-09-22 05:17:22,2017-09-22 06:22:07,13104,"Perley, Daniel A",2017-10-12 10:00:00,/sha/archive/proc/IRAC046100/r62074368/SPITZER_I_62074368_DOC.fits,IracMapPC
GRB141220A,GRB141220A,195.065667,32.146111,,IRAC Map PC,62074112,GRB141220A,2017-10-03 10:44:11,2017-10-03 11:48:56,13104,"Perley, Daniel A",2017-10-19 10:00:00,/sha/archive/proc/IRAC046200/r62074112/SPITZER_I_62074112_DOC.fits,IracMapPC
GRB141121A,GRB141121A,122.66925,22.217167,,IRAC Map PC,62073856,GRB141121A,2017-07-07 08:29:03,2017-07-07 09:33:47,13104,"Perley, Daniel A",2017-08-03 10:00:00,/sha/archive/proc/IRAC045600/r62073856/SPITZER_I_62073856_DOC.fits,IracMapPC
GRB141109A,GRB141109A,144.530833,-0.6079439999999999,,IRAC Map PC,62073600,GRB141109A,2018-03-02 03:23:06,2018-03-02 06:41:46,13104,"Perley, Daniel A",2018-03-15 10:00:00,/sha/archive/proc/IRAC047200/r62073600/SPITZER_I_62073600_DOC.fits,IracMapPC
GRB141028A,GRB141028A,322.60225,-0.23130599999999998,,IRAC Map PC,62073344,GRB141028A,2017-02-22 08:57:17,2017-02-22 11:09:49,13104,"Perley, Daniel A",2017-03-09 10:00:00,/sha/archive/proc/IRAC044600/r62073344/SPITZER_I_62073344_DOC.fits,IracMapPC
GRB141017A,GRB141017A,93.630333,-58.582361,,IRAC Map PC,62073088,GRB141017A,2017-01-17 19:03:55,2017-01-17 20:08:39,13104,"Perley, Daniel A",2017-01-26 10:00:00,/sha/archive/proc/IRAC044300/r62073088/SPITZER_I_62073088_DOC.fits,IracMapPC
GRB141004A,GRB141004A,76.734042,12.819666999999999,,IRAC Map PC,62072832,GRB141004A,2016-12-16 22:09:30,2016-12-16 22:38:41,13104,"Perley, Daniel A",2017-01-12 10:00:00,/sha/archive/proc/IRAC044100/r62072832/SPITZER_I_62072832_DOC.fits,IracMapPC
GRB140927A,GRB140927A,291.792083,-65.393361,,IRAC Map PC,54906368,GRB140927A,2016-07-07 14:32:05,2016-07-07 16:41:37,11116,"Perley, Daniel A",2016-07-21 10:00:00,/sha/archive/proc/IRAC042500/r54906368/SPITZER_I_54906368_DOC.fits,IracMapPC
GRB140916A,GRB140916A,40.3995,-39.686444,,IRAC Map PC,62072576,GRB140916A,2017-10-25 01:31:00,2017-10-25 03:40:31,13104,"Perley, Daniel A",2017-11-02 10:00:00,/sha/archive/proc/IRAC046300/r62072576/SPITZER_I_62072576_DOC.fits,IracMapPC
GRB140730A,GRB140730A,56.39895799999999,-66.545167,,IRAC Map PC,62072064,GRB140730A,2016-11-05 14:58:00,2016-11-05 16:02:44,13104,"Perley, Daniel A",2016-11-23 10:00:00,/sha/archive/proc/IRAC043800/r62072064/SPITZER_I_62072064_DOC.fits,IracMapPC
GRB140713A,GRB140713A,281.107,59.633639,,IRAC Map PC,62071808,GRB140713A,2016-11-08 04:37:27,2016-11-08 06:46:58,13104,"Perley, Daniel A",2016-11-23 10:00:00,/sha/archive/proc/IRAC043800/r62071808/SPITZER_I_62071808_DOC.fits,IracMapPC
GRB140710A,GRB140710A,41.067917,35.499194,,IRAC Map PC,54906112,GRB140710A,2015-11-11 15:36:17,2015-11-11 16:05:28,11116,"Perley, Daniel A",2015-11-25 10:00:00,/sha/archive/proc/IRAC040800/r54906112/SPITZER_I_54906112_DOC.fits,IracMapPC
GRB140706A,GRB140706A,49.293292,-38.052167,,IRAC Map PC,62071552,GRB140706A,2016-12-17 12:49:18,2016-12-17 13:54:03,13104,"Perley, Daniel A",2017-01-12 10:00:00,/sha/archive/proc/IRAC044100/r62071552/SPITZER_I_62071552_DOC.fits,IracMapPC
GRB140706A,GRB140706A,49.293292,-38.052167,,IRAC Map PC,63314176,GRB140706A - ch2,2017-10-25 03:42:21,2017-10-25 04:47:06,13104,"Perley, Daniel A",2018-04-05 10:00:00,/sha/archive/proc/IRAC046300/r63314176/SPITZER_I_63314176_DOC.fits,IracMapPC
GRB140703A,GRB140703A,12.996042,45.101667,,IRAC Map PC,54905856,GRB140703A,2016-10-25 03:17:32,2016-10-25 07:42:11,11116,"Perley, Daniel A",2016-11-10 10:00:00,/sha/archive/proc/IRAC043700/r54905856/SPITZER_I_54905856_DOC.fits,IracMapPC
GRB140629A,GRB140629A,248.976833,41.876861,,IRAC Map PC,54905600,GRB140629A,2015-06-05 16:48:20,2015-06-05 19:00:48,11116,"Perley, Daniel A",2016-06-24 10:00:00,/sha/archive/proc/IRAC040100/r54905600/SPITZER_I_54905600_DOC.fits,IracMapPC
GRB140628A,GRB140628A,40.666167,-0.384917,,IRAC Map PC,54905344,GRB140628A,2015-11-09 03:10:59,2015-11-09 05:20:29,11116,"Perley, Daniel A",2015-11-25 10:00:00,/sha/archive/proc/IRAC040800/r54905344/SPITZER_I_54905344_DOC.fits,IracMapPC
GRB140626A,GRB140626A,77.378292,-82.630611,,IRAC Map PC,54905088,GRB140626A,2015-06-05 03:31:04,2015-06-05 05:40:36,11116,"Perley, Daniel A",2016-06-24 10:00:00,/sha/archive/proc/IRAC040100/r54905088/SPITZER_I_54905088_DOC.fits,IracMapPC
