COORD_SYSTEM: Equatorial
# Equatorial, Galactic, or Ecliptic - default is Equatorial
EQUINOX: J2000
# B1950, J2000, or blank for Galactic - default is J2000
NAME-RESOLVER: NED
# NED  Simbad - default is Simbad
#Name       RA/LON      DEC/LAT     PM-RA   PM-DEC  EPOCH
GRB990527	22h50m26s	-20d53m
GRB990520	08h35m05s	+51d18m
GRB990510	13h38m06s	-80d30m
GRB990506	11h54m41s	-26d45m
GRB990308	12h23m11s	+06d43m
GRB990217	03h02m52s	-53d06m
GRB990123	15h25m29s	+44d45m
GRB981226	23h29m40s	-23d55m
GRB981220	03h42m34s	+17d09m
GRB980706	10h48m00s	+57d20m
GRB980703	23h59m07s	+08d35.6m
GRB980613	10h17m46s	+71d29.9m
GRB980519	23h22m14s	+77d15.3m
GRB980515	21h18m04s	-67d14.9m
GRB980425	19h34m54s	-52d49.9m
GRB980329	07h02m41s	+38d50.7m
GRB980326	08h36m26s	-18d53.0m
GRB980109	00h25m56s	-63d01.4m
GRB971227	12h57m35s	+59d15.4m
GRB971214	11h56m30s	+65d12.0m
GRB971024	18h24m51s	+49d28.9m
GRB970828	18h08m29s	+59d18.0m
GRB970815	16h08m43s	+81d30.6m
GRB970616	01h18m57s	-05d28.0m
GRB970508	06h53m28s	+79d17.4m
GRB970402	14h50m16s	-69d19.9m
GRB970228	05h01m57s	+11d46.4m
GRB970111	15h28m15s	+19d36.3m
GRB960720	17h30m37s	+49d05.8m
