grb,ra,dec,err
GRB 160905A , 10:48:59.02 , -50:48:03.5 , 1.4 
GRB 160829A , NO POSITION ,,
GRB 160827A , NO POSITION ,,
GRB 160826A , 12:12:27.16 , -67:39:50.7 , 3.6 
GRB 160825A , NO POSITION ,,
GRB 160824A , 05:20:21.01 , +40:01:41.9 , 1.4 
GRB 160821B , 18:39:54.27 , +62:23:29.2 , 2.2 
GRB 160821A , NO POSITION ,,
GRB 160816A , 21:29:38.68 , +37:07:58.1 , 1.6 
GRB 160815A , 19:14:09.36 , +84:18:50.0 , 1.5 
GRB 160804A , 14:46:31.21 , +09:59:56.1 , 1.4 
GRB 160801A , 14:11:03.10 , +13:29:21.1 , 1.7 
GRB 160726A , NO POSITION ,,
GRB 160716A , 12:41:45.01 , -61:21:03.8 , 2.0 
GRB 160714A , NO POSITION ,,
GRB 160712A , 20:16:38.36 , -26:57:29.7 , 1.5 
GRB 160709A , NO POSITION ,,
GRB 160705B , 11:12:26.24 , +46:41:59.5 , 1.5 
GRB 160703A , NO POSITION ,,
GRB 160630A , 13:13:02.16 , -56:02:30.7 , 1.4 
GRB 160629A , 00:19:27.24 , +76:58:02.2 , 2.5 
GRB 160625B , NO POSITION ,,
GRB 160625B , 20:34:23.56 , +06:55:09.9 , 2.2 
GRB 160625A , 11:47:39.72 , -65:08:39.2 , 2.3 
GRB 160624A , 22:00:46.21 , +29:38:37.8 , 1.7 
GRB 160623A , 21:01:11.54 , +42:13:15.4 , 1.5 
GRB 160612A , NO POSITION ,,
GRB 160611A , 10:57:41.36 , -70:23:32.8 , 1.5 
GRB 160607A , 00:54:40.16 , -04:56:53.9 , 1.4 
GRB 160601A , 15:39:44.53 , +64:32:28.7 , 3.1 
GRB 160530A , NO POSITION ,,
GRB 160530A , NO POSITION ,,
GRB 160525B , 09:57:32.31 , +51:12:23.9 , 1.5 
GRB 160525A , NO POSITION ,,
GRB 160521B , 09:50:40.02 , +79:01:50.5 , 3.1 
GRB 160519A , NO POSITION ,,
GRB 160509A , NO POSITION ,,
GRB 160509A , 20:47:00.73 , +76:06:28.7 , 1.5 
GRB 160509A , NO POSITION ,,
GRB 160506A , 17:43:23.67 , -46:08:02.9 , 1.7 
GRB 160504A , 11:20:17.34 , +56:00:05.5 , 1.4 
GRB 160501A , 19:05:32.17 , -17:14:28.9 , 1.6 
GRB 160425A , 18:41:18.55 , -54:21:36.1 , 1.4 
GRB 160424A , 21:17:56.41 , -60:24:53.3 , 3.80 
GRB 160422A , 02:48:22.70 , -57:52:29.9 , 1.7 
GRB 160419A , NO POSITION ,,
GRB 160417A , 08:01:01.64 , +07:39:46.0 , 1.4 
GRB 160412A , 02:12:11.05 , -67:37:36.7 , 1.6 
GRB 160411A , 23:17:25.64 , -40:14:32.1 , 2.2 
GRB 160410A , 10:02:44.43 , +03:28:41.7 , 2.3 
GRB 160409A , NO POSITION ,,
GRB 160408A , 08:10:29.92 , +71:07:42.0 , 1.6 
GRB 160401A , NO POSITION ,,
GRB 160327A , 09:46:48.56 , +54:00:46.3 , 1.4 
GRB 160325A , 01:02:36.12 , -72:41:47.9 , 1.6 
GRB 160321A , 06:37:40.76 , +05:44:52.0 , 1.6 
GRB 160314A , 07:31:09.83 , +16:59:57.8 , 2.9 
GRB 160313A , 12:15:11.17 , +57:17:00.4 , 1.7 
GRB 160310A , NO POSITION ,,
GRB 160303A , 11:14:48.16 , +22:44:31.3 , 1.5 
GRB 160228A , 07:09:15.90 , +26:55:54.3 , 1.6 
GRB 160227A , 12:59:13.73 , +78:40:44.9 , 1.4 
GRB 160225A , 10:56:55.15 , +53:40:12.4 , 1.4 
GRB 160223B , NO POSITION ,,
