grb,ra,dec
GRB150722A,14h33m05s,-35d12m
GRB150721A,22h16m24s,+07d48m
GRB150720A,07h58m20s,-28d18m
GRB150716A,18h33m52s,-13d01m
GRB150711A,14h46m31s,-35d28m
GRB150710B,05h32m47s,-46d58m
GRB150710A,12h57m59s,+14d18m
GRB150702A,03h31m07s,-57d00m
GRB150627A,07h49m58s,-51d34m
GRB150626B,12h30m41s,+66d47m
GRB150626A,07h25m22s,-37d46m
GRB150622A,16h46m57s,-52d56m
GRB150616A,20h58m49s,-53d24m
GRB150615A,07h10m17s,-22d28m
GRB150608A,00h54m36s,-00d08m
GRB150607A,09h20m06s,+68d27m
GRB150530B,00h29m59s,+44d17m
GRB150530A,21h50m06s,+57d34m
GRB150527A,19h15m50s,+04d12m
GRB150523A,07h41m26s,-45d24m
GRB150518A,15h36m50s,+16d16m
GRB150514A,04h59m24s,-60d55m
GRB150513A,03h16m14s,-22d55m
GRB150510A,01h04m38s,+04d47m
GRB150430A,21h45m58s,-27d56m
GRB150428C,04h00m59s,+67d49m
GRB150428B,19h30m37s,+04d07m
GRB150428A,12h34m10s,+06d34m
GRB150424A,10h09m15s,-26d39m
GRB150423A,14h46m24s,+12d17m
GRB150418A,10h42m11s,-04d56m
GRB150413A,12h41m32s,+71d49m
GRB150407A,14h26m25s,+38d32m
GRB150403A,20h46m01s,-62d42m
GRB150402A,11h34m38s,+41d00m
GRB150330A,22h04m07s,+52d18m
GRB150323C,12h50m27s,+50d12m
GRB150323B,17h21m47s,+38d19m
GRB150323A,08h32m46s,+45d26m
GRB150318A,21h39m53s,-61d29m
GRB150317A,09h15m45s,+55d27m
GRB150314A,08h26m38s,+63d50m
GRB150313A,16h49m25s,-10d58m
GRB150311A,15h40m23s,-15d49m
GRB150309A,18h27m57s,+86d26m
GRB150302A,11h42m02s,+36d50m
GRB150301C,00h45m20s,+41d51m
GRB150301B,05h56m38s,-57d59m
GRB150301A,16h17m09s,-48d42m
GRB150222B,10h23m35s,-41d10m
GRB150222A,13h15m06s,-12d08m
GRB150219A,18h05m04s,-41d36m
GRB150213B,16h53m42s,+34d11m
GRB150212A,19h02m05s,+47d24m
GRB150211A,16h59m25s,+55d23m
GRB150210A,07h28m36s,+13d16m
GRB150206A,00h40m21s,-63d11m
GRB150204A,10h40m58s,-64d03m
GRB150203A,06h33m39s,+06d58m
GRB150202B,05h46m24s,+59d06m
GRB150202A,02h36m57s,-33d09m
GRB150201A,00h47m20s,-37d37m
GRB150127B,09h20m44s,-03d12m
GRB150127A,19h47m49s,-09d25m
GRB150126A,23h22m00s,-12d22m
GRB150123A,07h26m14s,-09d41m
GRB150120B,02h37m11s,+08d05m
GRB150120A,00h41m14s,+33d59m
GRB150118C,10h40m18s,-27d25m
GRB150118B,16h00m58s,-35d45m
GRB150110C,04h34m18s,-16d52m
GRB150110B,19h17m26s,+32d31m
GRB150110A,08h46m33s,-48d53m
GRB150103A,08h46m33s,-48d53m
GRB150101B,12h32m10s,-10d57m
GRB150101A,20h50m31s,+36d44m
GRB141229A,19h18m43s,-35d38m
GRB141225A,09h15m00s,+33d48m
GRB141222A,11h52m10s,-57d21m
GRB141221A,13h13m05s,+08d13m
GRB141220A,13h00m12s,+32d09m
GRB141215A,11h56m13s,-52d45m
GRB141212B,16h43m28s,+31d45m
GRB141212A,02h36m39s,+18d09m
GRB141207A,10h39m58s,+03d55m
GRB141205A,06h11m31s,+37d52m
GRB141202A,09h32m17s,+54d10m
GRB141130A,14h51m15s,+47d18m
GRB141125A,08h31m38s,-29d32m
GRB141121A,08h10m40s,+22d14m
GRB141118A,10h27m30s,+19d05m
GRB141109B,14h49m27s,+73d07m
GRB141109A,09h38m02s,-00d36m
GRB141104A,18h37m57s,-12d42m
GRB141102A,13h54m27s,-47d06m
GRB141031B,23h47m44s,+41d22m
GRB141031A,08h34m24s,-59d08m
GRB141029B,07h00m48s,+25d06m
GRB141028A,21h30m48s,-00d17m
GRB141026A,02h56m19s,+26d58m
GRB141022A,16h07m36s,-72d08m
GRB141020A,15h00m02s,+55d20m
GRB141017A,06h14m31s,-58d33m
GRB141015A,05h50m02s,+18d19m
GRB141011A,17h11m45s,-09d41m
GRB141005A,19h24m26s,+36d04m
GRB141004A,05h06m56s,+12d49m
GRB140930B,00h25m25s,+24d16m
GRB140930A,22h59m30s,+52d26m
GRB140928A,02h55m14s,-56d05m
GRB140927A,19h27m23s,-65d23m
GRB140919A,14h46m13s,-32d09m
GRB140916A,02h41m37s,-39d43m
GRB140909A,12h54m33s,+63d30m
GRB140907A,03h12m35s,+46d36m
GRB140906C,20h59m51s,+01d56m
GRB140903A,15h52m09s,+27d35m
GRB140901B,07h28m44s,-29d13m
GRB140901A,01h03m16s,-32d45m
GRB140828A,09h28m03s,+14d35m
GRB140825A,05h54m51s,-11d50m
GRB140824A,13h46m35s,+33d18m
GRB140818B,18h04m35s,+01d22m
GRB140818A,13h18m03s,+06d48m
GRB140817A,08h29m01s,+58d11m
GRB140815A,05h47m35s,-08d40m
GRB140814A,12h10m03s,+49d21m
GRB140810A,07h56m10s,+27d33m
GRB140809A,11h15m14s,+71d01m
GRB140808A,14h26m05s,+48d36m
GRB140801A,03h01m00s,-30d53m
GRB140730A,03h45m43s,-66d32m
GRB140729A,12h55m48s,+15d21m
GRB140723A,14h02m31s,-03d44m
GRB140719B,02h38m57s,-02d23m
GRB140719A,11h26m22s,-50d08m
GRB140716A,07h12m32s,-60d09m
GRB140713A,18h44m27s,+59d37m
GRB140710B,13h38m40s,-58d33m
GRB140710A,02h44m21s,+35d30m
GRB140709B,09h44m17s,+63d30m
GRB140709A,20h18m33s,+51d13m
GRB140706A,03h17m13s,-38d04m
GRB140703A,00h51m58s,+45d06m
GRB140629A,16h35m56s,+41d53m
GRB140628A,02h42m39s,-00d22m
GRB140626A,05h09m24s,-82d38m
GRB140623A,13h13m00s,+75d48m
GRB140622A,21h08m37s,-14d26m
GRB140621A,04h53m07s,+14d39m
GRB140620A,18h47m29s,+49d44m
GRB140619C,15h32m04s,-25d36m
GRB140619B,08h50m43s,-09d40m
GRB140619A,01h48m22s,-39d16m
GRB140614B,21h30m30s,+14d55m
GRB140614A,15h24m56s,-79d06m
GRB140611A,23h19m43s,-40d05m
GRB140610A,19h05m02s,+03d54m
GRB140607A,05h45m31s,+18d55m
GRB140606B,21h51m00s,+33d41m
GRB140606A,13h27m14s,+37d35m
GRB140604A,17h32m41s,-40d24m
GRB140529A,15h15m16s,-41d03m
GRB140528A,18h42m55s,-58d45m
GRB140523A,08h53m12s,+24d57m
GRB140521A,21h20m03s,+67d36m
GRB140518A,15h08m55s,+42d24m
GRB140516A,16h51m57s,+39d55m
GRB140515B,19h17m52s,-11d00m
GRB140515A,12h24m09s,+15d05m
GRB140512A,19h17m29s,-15d06m
GRB140509B,20h52m29s,+21d09m
GRB140509A,03h06m26s,-62d39m
GRB140508A,17h02m31s,+46d45m
GRB140506A,18h27m10s,-55d34m
GRB140502B,13h18m43s,-35d38m
GRB140502A,21h16m37s,+49d01m
GRB140430A,06h51m43s,+23d01m
GRB140428A,12h57m22s,+28d21m
GRB140423A,13h09m10s,+49d49m
GRB140419A,08h28m00s,+46d13m
GRB140416A,02h21m36s,+43d54m
